@relation ASS2009
@attribute skill_ID numeric
@attribute skill_mastery numeric
@attribute ability_profile numeric
@attribute problem_difficulty numeric
@attribute correctness {1,0}
@data
34,0.352424,1,2,1
34,0.52799,1,1,1
34,0.685595,1,1,0
34,0.105886,1,1,0
34,0.101267,1,1,1
34,0.242817,1,2,1
34,0.413588,1,2,0
45,0.745605,1,4,0
83,0.480542,1,2,1
7,0.898064,1,1,1
7,0.933623,1,2,1
7,0.957366,1,5,1
7,0.972862,1,6,1
7,0.982827,1,1,1
7,0.989173,1,1,1
7,0.993191,1,0,1
10,0.621993,1,7,0
10,0.62331,1,3,0
83,0.683965,1,5,1
83,0.830871,1,3,1
39,0.705764,1,3,1
55,0.571245,1,2,0
55,0.574119,1,0,1
55,0.573934,1,3,1
55,0.57375,1,4,1
43,0.802093,1,1,1
49,0.385714,1,4,0
7,0.995724,1,0,1
7,0.997317,1,1,1
7,0.998318,1,1,1
7,0.998946,1,1,1
5,0.755187,1,0,1
5,0.814535,1,1,1
33,0.812149,1,0,1
120,0.696833,1,4,0
120,0.697979,1,6,0
120,0.699123,1,8,0
120,0.700264,1,4,1
97,0.703549,1,7,0
97,0.104548,1,9,0
97,0.101175,1,6,1
97,0.297891,1,7,1
97,0.562955,1,6,1
97,0.78641,1,4,1
33,0.890184,1,1,1
42,0.439223,1,2,1
42,0.472193,1,3,1
8,0.506631,1,2,1
6,0.584071,1,0,1
8,0.539725,1,2,0
8,0.441362,1,2,1
8,0.474354,1,3,1
8,0.507538,1,2,1
8,0.540625,1,2,1
8,0.573331,1,2,1
8,0.605387,1,4,1
8,0.636542,1,2,1
8,0.666577,1,3,1
8,0.695304,1,2,1
6,0.691621,1,7,0
6,0.475149,1,3,1
6,0.591208,1,6,1
6,0.697865,1,5,1
5,0.861211,1,6,0
5,0.128185,1,2,1
67,0.708333,1,1,0
5,0.24031,1,1,0
67,0.709999,1,0,1
5,0.102427,1,2,1
5,0.213008,1,2,1
15,0.656566,1,2,1
15,0.813179,1,1,0
15,0.108774,1,3,0
120,0.699724,1,2,1
120,0.699184,1,3,1
97,0.911625,1,2,1
97,0.966328,1,1,1
2,0.417943,1,5,0
54,0.351852,1,4,0
15,0.10122,1,4,1
15,0.265861,1,1,1
15,0.477966,1,1,0
3,0.686047,1,3,0
1,0.634752,1,3,1
1,0.768819,1,1,1
45,0.106249,1,3,1
31,0.961737,1,2,1
31,0.975685,1,5,1
5,0.327883,1,0,1
5,0.441068,1,0,1
81,0.267969,1,5,1
37,0.607568,1,5,1
45,0.273271,1,4,1
31,0.984629,1,1,1
5,0.546919,1,5,1
5,0.641189,1,2,1
5,0.72156,1,3,1
6,0.786705,1,2,1
38,0.952204,1,2,1
38,0.969412,1,2,1
38,0.980527,1,1,1
8,0.722575,1,2,1
8,0.74828,1,2,1
8,0.772347,1,1,1
8,0.794738,1,1,0
8,0.722715,1,2,1
8,0.748412,1,2,1
8,0.772469,1,4,1
8,0.794851,1,3,1
8,0.815552,1,3,0
8,0.748513,1,4,1
8,0.772564,1,4,1
120,0.698644,1,1,1
15,0.102647,1,3,0
15,0.101206,1,1,1
15,0.265841,1,2,1
15,0.477944,1,2,1
83,0.563882,0,1,1
83,0.748754,0,1,1
81,0.740051,0,4,1
38,0.695431,0,1,1
82,0.74256,0,0,1
43,0.521959,0,5,1
80,0.694021,0,4,0
80,0.105068,0,5,0
82,0.844854,0,3,1
82,0.910562,0,0,1
37,0.606742,0,2,1
7,0.671739,0,4,0
7,0.452388,0,4,1
7,0.56893,0,4,1
7,0.678245,0,1,0
38,0.788669,0,2,1
46,0.646967,0,4,1
81,0.865354,0,4,1
83,0.870508,0,6,0
38,0.857717,0,1,1
38,0.906265,7,2,1
38,0.939168,7,2,1
38,0.960916,7,2,1
38,0.975054,7,2,1
83,0.11295,7,2,1
33,0.694888,7,6,0
33,0.106102,7,2,1
33,0.249144,7,4,1
33,0.42058,7,5,0
33,0.102632,7,3,1
33,0.244608,7,3,1
33,0.415572,7,2,1
31,0.602689,7,0,1
31,0.707827,7,1,1
31,0.794598,7,0,1
31,0.86066,7,3,0
31,0.71359,7,2,1
31,0.799134,7,2,1
31,0.863987,7,2,1
31,0.910247,7,5,0
31,0.803546,7,6,0
31,0.622673,7,5,0
31,0.399899,7,6,1
31,0.515697,7,4,0
31,0.300869,7,7,0
31,0.148589,7,6,1
31,0.21851,7,3,0
31,0.102125,7,4,0
31,0.044765,7,3,0
31,0.019508,7,4,1
31,0.031724,7,4,1
79,0.778571,7,1,1
39,0.552876,7,2,1
82,0.949841,7,2,1
57,0.730159,7,2,1
82,0.972319,7,2,1
82,0.984862,7,0,1
80,0.101211,7,4,1
82,0.991763,7,1,1
80,0.265849,7,3,1
35,0.850949,1,1,1
35,0.850781,1,0,1
34,0.789386,1,0,1
33,0.587987,1,6,1
34,0.875659,1,2,1
34,0.929246,1,1,1
34,0.960624,1,2,1
34,0.978364,1,2,0
34,0.192515,1,2,1
34,0.356154,1,1,1
34,0.531646,1,1,1
34,0.688589,1,1,1
34,0.807721,1,3,1
33,0.733407,1,0,1
97,0.703549,1,6,0
97,0.104548,1,8,1
97,0.303569,1,3,1
97,0.569016,1,3,1
97,0.790402,1,7,1
97,0.913513,1,0,1
33,0.838682,1,5,0
97,0.967086,1,3,0
97,0.143036,1,3,1
97,0.365032,1,4,1
97,0.630374,1,3,1
98,0.561086,1,4,1
98,0.746693,1,4,0
47,0.808429,1,3,1
47,0.88783,1,1,1
47,0.936496,1,2,1
47,0.964763,1,2,1
47,0.980671,1,2,1
47,0.989465,1,4,0
47,0.272297,1,2,0
47,0.101842,1,2,1
47,0.243572,1,0,1
47,0.414425,1,2,1
40,0.754491,1,3,1
40,0.754274,1,2,0
40,0.756366,1,3,1
40,0.756149,1,3,0
40,0.758231,1,2,1
40,0.758014,1,1,1
40,0.757798,1,3,0
40,0.759869,1,3,0
40,0.761927,1,1,1
40,0.761712,1,2,1
80,0.477953,1,3,1
49,0.385714,1,4,1
49,0.600809,1,5,1
49,0.775313,1,4,1
42,0.439223,1,3,1
42,0.472193,1,3,0
43,0.680633,1,3,1
80,0.681836,1,4,1
81,0.934927,1,5,1
56,0.833747,1,0,1
83,0.283038,1,6,1
46,0.806842,1,2,1
83,0.496974,1,5,1
38,0.984145,1,1,1
38,0.989951,1,2,1
38,0.993642,1,2,1
38,0.995981,1,2,1
33,0.112563,1,2,1
31,0.050607,1,1,1
31,0.079272,1,7,0
31,0.034485,1,1,1
31,0.054837,1,2,1
31,0.085608,1,3,1
31,0.130783,1,3,1
31,0.194326,1,5,0
31,0.089464,1,6,0
31,0.039032,1,5,0
31,0.017082,1,5,1
31,0.027941,1,6,0
31,0.012434,1,7,0
31,0.006041,1,6,1
23,0.540441,1,3,1
79,0.887782,1,2,1
39,0.705764,1,4,0
39,0.106372,1,4,1
82,0.995531,1,3,1
80,0.829516,1,3,1
43,0.802093,1,1,1
43,0.883802,1,5,0
82,0.997578,1,0,1
82,0.998689,1,1,1
57,0.729866,1,3,1
82,0.999291,1,0,1
33,0.257539,1,2,1
34,0.887381,1,0,1
35,0.850612,1,0,1
47,0.586932,1,2,1
47,0.73259,1,3,1
47,0.838129,1,2,1
47,0.906419,1,2,1
47,0.947427,1,0,1
35,0.850444,1,2,1
97,0.82872,1,3,1
97,0.931131,1,5,0
97,0.120844,1,9,0
33,0.429779,1,1,1
33,0.600947,1,2,1
34,0.93623,1,2,0
34,0.132905,1,2,0
34,0.101345,1,1,1
34,0.24292,1,1,1
35,0.850276,1,3,0
35,0.851693,1,10,0
80,0.915999,1,3,1
83,0.697309,1,3,1
47,0.970958,1,1,1
40,0.761496,1,2,0
40,0.763545,1,2,0
10,0.621993,1,0,1
7,0.459736,1,4,1
7,0.576174,1,2,1
7,0.684667,1,0,1
7,0.776146,1,1,1
7,0.847003,1,4,1
7,0.898362,1,1,1
28,0.683908,1,3,0
1,0.634752,1,2,1
1,0.768819,1,4,1
3,0.686047,1,8,0
3,0.687793,1,3,0
8,0.506631,1,6,0
8,0.408985,1,3,1
8,0.441508,1,3,1
8,0.474502,1,4,1
8,0.507685,1,2,1
8,0.540771,1,2,1
8,0.573476,1,2,1
8,0.605528,1,3,1
99,0.551601,1,1,1
99,0.662713,1,6,0
42,0.376174,1,3,1
42,0.407934,1,3,0
42,0.317238,1,3,0
42,0.23877,1,5,1
42,0.264095,1,2,1
82,0.999616,1,2,1
49,0.885922,1,5,1
49,0.945467,1,5,1
54,0.351852,1,2,0
54,0.268095,1,2,1
54,0.295241,1,2,1
54,0.323853,1,4,1
54,0.353787,1,0,1
54,0.384858,1,5,1
43,0.117817,1,4,1
34,0.413702,1,1,1
34,0.586267,1,2,1
34,0.732074,1,2,0
34,0.107115,1,3,0
34,0.10127,1,2,0
34,0.101254,1,1,1
34,0.2428,1,2,1
34,0.413569,1,2,0
34,0.102586,1,1,1
34,0.244547,1,2,0
34,0.101729,1,2,0
35,0.853099,1,3,1
35,0.852932,1,1,1
35,0.852766,1,5,1
35,0.852599,1,2,1
45,0.559615,1,4,1
37,0.606454,1,3,0
37,0.608436,1,5,0
37,0.610413,1,3,0
57,0.729573,1,4,1
53,0.586592,1,1,0
53,0.104186,1,2,0
53,0.101262,1,2,1
53,0.242811,1,2,0
53,0.101722,1,1,1
53,0.243414,1,2,1
53,0.41425,1,1,1
53,0.586771,1,1,1
53,0.732465,1,2,0
53,0.107127,1,3,1
19,0.758242,1,3,0
19,0.759702,1,5,0
19,0.761156,1,0,1
19,0.760876,1,2,1
18,0.86166,1,1,1
21,0.655172,1,7,0
21,0.656645,1,7,0
31,0.01059,1,4,1
45,0.745605,1,5,0
45,0.106249,1,5,0
38,0.107813,0,2,1
38,0.233074,0,2,1
46,0.646967,0,1,1
46,0.806842,0,4,0
56,0.833747,0,1,1
56,0.833605,0,2,1
38,0.372688,0,3,1
80,0.694021,0,3,1
83,0.563882,0,3,1
38,0.513176,0,1,1
38,0.640723,0,2,1
38,0.746152,0,1,1
38,0.826746,0,1,1
38,0.88475,0,2,1
6,0.584071,0,3,1
6,0.691621,0,2,1
6,0.781724,0,6,0
12,0.673729,0,1,1
7,0.671739,0,4,0
7,0.452388,0,4,0
7,0.250429,7,4,1
7,0.34826,7,4,1
7,0.46064,7,4,0
7,0.256705,7,1,1
7,0.35581,7,1,1
6,0.591009,7,3,1
6,0.697691,7,2,1
6,0.786567,7,6,0
6,0.597901,7,2,1
6,0.703684,7,2,1
6,0.791323,7,8,0
7,0.468864,7,2,1
7,0.585103,7,4,1
82,0.74256,7,1,1
80,0.837221,7,5,1
93,0.328947,7,8,0
82,0.844854,7,3,1
82,0.910562,7,2,1
82,0.949841,7,2,1
82,0.972319,7,2,1
82,0.984862,1,1,1
81,0.552147,1,4,0
33,0.694888,1,6,0
33,0.106102,1,4,0
33,0.101267,1,2,0
33,0.101254,1,3,0
33,0.101254,1,4,0
33,0.101254,1,6,0
33,0.101254,1,3,1
33,0.2428,1,2,0
33,0.101722,1,2,1
81,0.103216,1,4,0
81,0.101207,1,5,0
81,0.101203,1,3,0
81,0.101203,1,5,0
81,0.101203,1,5,1
33,0.243414,1,3,0
33,0.101724,1,6,0
33,0.101255,1,0,1
33,0.242802,1,0,1
34,0.789386,7,0,1
35,0.850949,7,0,1
8,0.506631,7,4,1
8,0.539725,7,0,1
8,0.572446,7,5,0
8,0.474225,7,2,1
8,0.507408,7,3,1
8,0.540496,7,2,1
8,0.573205,7,2,1
8,0.605263,7,1,1
47,0.808429,7,1,1
2,0.417943,7,6,0
2,0.127767,7,5,0
2,0.029766,7,7,0
10,0.621993,7,2,0
12,0.673427,7,8,0
12,0.675217,7,0,1
9,0.433962,7,4,0
53,0.586592,7,0,1
53,0.732326,7,2,1
53,0.83795,7,2,1
53,0.906308,7,2,1
53,0.947363,7,2,1
97,0.703549,7,3,1
97,0.869944,7,6,0
97,0.110928,7,7,1
97,0.314176,7,3,0
97,0.101687,7,0,1
97,0.298755,7,2,1
97,0.563883,7,2,1
98,0.561086,7,5,1
98,0.746693,7,3,0
98,0.10628,7,2,0
98,0.101214,7,6,0
98,0.101203,7,1,1
98,0.265836,7,3,0
98,0.101652,7,4,0
98,0.101204,7,6,0
98,0.101203,7,2,0
98,0.101203,7,7,0
8,0.636422,7,1,1
8,0.666462,7,3,1
8,0.695194,7,2,1
8,0.722472,7,2,1
8,0.748183,7,2,1
35,0.850781,7,2,1
80,0.92013,7,5,0
80,0.121287,7,6,0
80,0.101249,7,3,0
80,0.101203,7,7,1
80,0.265836,7,4,1
57,0.730159,7,0,1
82,0.991763,7,2,1
45,0.559615,7,5,0
45,0.103284,7,6,0
68,0.833333,7,1,1
21,0.655172,7,2,0
21,0.656645,7,2,0
21,0.658114,7,4,0
21,0.659578,7,4,0
21,0.661039,7,4,0
21,0.662497,7,3,0
47,0.88783,7,1,1
47,0.936496,7,1,0
47,0.133043,7,2,1
47,0.283714,7,3,1
47,0.457909,7,1,1
47,0.626055,7,0,1
47,0.762351,7,3,1
80,0.477938,7,4,1
40,0.754491,7,2,0
40,0.756582,7,3,0
40,0.758661,7,2,0
40,0.760727,7,2,1
40,0.760511,7,5,0
40,0.762565,7,1,1
40,0.76235,7,3,0
40,0.764393,7,1,1
40,0.764179,7,3,1
40,0.763964,7,2,1
37,0.606742,7,3,1
31,0.602689,7,1,1
83,0.748754,7,3,1
31,0.707827,7,1,1
31,0.794598,7,3,0
31,0.609499,7,2,1
31,0.713688,7,3,1
31,0.799211,7,3,1
31,0.864043,7,1,1
31,0.910287,7,3,1
23,0.540441,7,3,0
23,0.541893,7,1,0
82,0.995531,7,0,1
43,0.521959,7,2,0
43,0.103453,7,3,1
43,0.245683,7,2,0
43,0.101733,7,1,1
43,0.243429,7,4,1
79,0.778571,7,2,1
50,0.621212,7,6,0
50,0.103945,2,4,0
1,0.634752,2,5,1
1,0.768819,2,2,1
33,0.413571,2,4,1
21,0.66395,2,6,0
21,0.6654,2,4,0
7,0.692527,2,4,0
50,0.101209,2,5,0
50,0.101203,2,3,1
50,0.265836,2,6,1
50,0.477938,2,7,1
42,0.439223,2,7,0
35,0.850612,2,0,1
7,0.476208,2,2,1
8,0.506631,0,1,0
8,0.408985,0,2,0
8,0.318179,0,2,1
8,0.347868,0,2,1
8,0.378734,0,2,1
81,0.552147,0,5,0
81,0.103216,0,3,0
81,0.101207,0,7,0
81,0.101203,0,7,0
81,0.101203,0,4,0
83,0.563882,0,2,0
83,0.103323,0,4,0
83,0.101208,0,3,0
83,0.101203,0,1,1
83,0.265836,0,2,1
82,0.74256,0,1,1
83,0.477938,0,2,1
43,0.521959,0,4,0
43,0.103453,0,3,0
81,0.101203,0,5,0
81,0.101203,7,5,1
81,0.265836,7,6,1
81,0.477938,7,4,0
81,0.102646,7,5,1
81,0.267969,7,3,1
81,0.480327,7,3,1
83,0.681824,7,4,0
83,0.104844,7,3,1
83,0.271207,7,4,1
83,0.483937,7,5,1
82,0.844854,7,2,1
37,0.606742,7,2,1
82,0.910562,7,0,1
80,0.694021,7,6,1
82,0.949841,7,0,1
80,0.837221,7,4,0
80,0.110172,7,3,1
80,0.279002,7,4,1
80,0.492554,7,3,1
56,0.833747,7,1,1
46,0.646967,7,4,1
81,0.683789,7,5,1
83,0.686747,7,4,0
83,0.104932,7,4,1
83,0.271337,7,4,1
83,0.484081,7,4,1
83,0.686864,7,3,1
38,0.695431,7,2,1
38,0.788669,7,2,1
38,0.857717,7,1,1
38,0.906265,7,2,0
38,0.129159,7,2,1
38,0.257862,7,1,1
38,0.398729,7,2,0
38,0.102989,7,3,1
38,0.227413,7,1,1
33,0.694888,7,4,1
31,0.602689,7,3,0
31,0.379898,7,5,1
31,0.494699,7,3,1
31,0.609972,7,4,1
31,0.714093,7,1,0
31,0.50201,7,2,1
31,0.616902,7,2,1
31,0.720021,7,1,1
31,0.80417,7,5,0
31,0.623602,7,1,1
31,0.725717,7,6,0
31,0.516403,7,7,0
31,0.301463,7,5,1
31,0.408267,7,3,1
31,0.524363,7,3,1
31,0.637806,7,7,0
23,0.540441,7,3,1
23,0.539908,7,7,1
45,0.559615,7,5,0
45,0.103284,7,4,0
45,0.101207,7,4,1
45,0.265843,7,4,1
45,0.477946,7,4,0
45,0.102646,7,5,0
23,0.539375,7,4,0
23,0.540829,7,3,1
23,0.540295,7,6,0
79,0.778571,7,0,1
39,0.552876,7,4,0
39,0.103777,7,5,0
82,0.972319,7,9,0
38,0.366671,7,2,1
38,0.507418,7,1,1
38,0.635742,7,1,1
31,0.415557,7,3,0
31,0.223419,7,4,0
31,0.104747,7,4,0
31,0.045963,7,5,1
31,0.07228,7,3,1
31,0.111411,7,6,0
31,0.049028,7,5,1
23,0.541747,7,10,0
23,0.543198,7,7,0
23,0.544646,7,1,0
31,0.076898,7,7,1
31,0.118157,7,5,1
23,0.546092,7,10,0
23,0.547536,7,3,0
23,0.548978,7,2,0
45,0.101206,7,4,0
45,0.101203,7,2,0
45,0.101203,7,5,1
45,0.265836,7,1,1
45,0.477938,7,4,0
45,0.102646,7,5,1
23,0.550419,7,2,1
23,0.549879,7,4,1
45,0.267969,7,4,0
45,0.101659,7,3,1
45,0.266511,7,4,1
45,0.478695,7,4,1
39,0.101261,7,4,1
39,0.242809,7,3,1
82,0.17374,7,2,1
82,0.333838,7,2,1
82,0.509548,7,4,1
82,0.670328,7,3,1
57,0.730159,7,3,0
57,0.731739,7,7,1
57,0.731446,7,1,1
57,0.731154,7,4,1
48,0.234637,7,8,0
48,0.094183,7,8,1
48,0.172448,7,8,0
48,0.06629,7,4,0
48,0.024246,7,5,1
82,0.794741,7,2,1
82,0.879101,7,2,1
82,0.931304,7,2,1
80,0.693748,7,4,1
42,0.439223,7,4,0
42,0.345572,7,4,1
42,0.376356,7,5,1
42,0.408121,2,4,1
42,0.440628,2,2,0
42,0.346861,2,3,1
42,0.377691,2,3,1
42,0.409493,2,3,1
43,0.10126,2,5,0
43,0.101254,2,1,1
43,0.2428,2,4,1
43,0.413569,2,2,1
43,0.586144,2,2,1
33,0.812149,2,4,0
33,0.110637,2,7,1
33,0.255043,2,2,1
33,0.427053,2,2,0
33,0.102676,2,1,1
33,0.244665,2,5,0
34,0.789386,2,1,0
34,0.109366,2,6,0
34,0.101277,2,3,1
34,0.24283,2,4,0
34,0.101722,7,4,0
97,0.703549,7,3,1
97,0.869944,7,6,0
97,0.110928,7,6,0
45,0.682447,7,5,0
37,0.606454,7,2,1
53,0.586592,7,2,0
53,0.104186,7,3,1
53,0.246641,7,4,0
53,0.101737,7,2,0
53,0.101255,7,3,1
53,0.242802,7,1,1
53,0.413571,7,1,0
53,0.102586,7,1,0
53,0.101257,7,3,0
53,0.101254,7,10,0
35,0.850949,7,0,1
99,0.551601,7,3,1
35,0.850781,7,1,1
98,0.561086,7,5,0
52,0.423592,7,0,1
52,0.42295,7,8,0
80,0.837049,7,2,1
47,0.808429,7,1,1
50,0.621212,7,3,0
50,0.103945,7,4,0
34,0.101255,7,0,1
34,0.242802,7,2,1
40,0.754491,7,3,0
86,0.508333,7,6,0
97,0.101187,7,3,1
97,0.297911,7,1,1
97,0.562977,7,1,1
57,0.730861,7,1,1
22,0.975904,7,0,1
49,0.385714,7,7,0
37,0.606166,7,0,1
104,0.608187,7,5,0
104,0.609531,7,3,0
45,0.104855,7,3,1
45,0.271223,2,2,1
45,0.483955,2,5,1
50,0.101209,2,3,1
50,0.265845,2,2,1
50,0.477948,2,3,1
50,0.681833,2,4,1
50,0.829514,2,5,1
50,0.915997,2,5,1
50,0.960472,2,4,0
50,0.142744,2,2,0
50,0.1013,2,3,0
50,0.101203,2,3,0
50,0.101203,2,3,1
50,0.265836,2,2,0
50,0.101652,2,2,1
50,0.2665,2,2,1
50,0.478683,2,3,0
50,0.102651,2,2,1
105,0.777778,2,1,0
55,0.571429,2,3,1
58,0.669118,2,7,0
68,0.833333,2,0,1
46,0.806842,2,3,0
54,0.351852,2,3,0
61,0.678049,2,2,0
61,0.67946,2,6,1
61,0.679055,2,3,1
61,0.67865,2,2,1
4,0.579365,2,7,0
4,0.581003,2,2,1
4,0.580611,2,4,1
56,0.833605,2,0,1
38,0.742203,2,3,0
38,0.109574,2,2,1
38,0.235135,2,3,1
46,0.108463,2,2,1
80,0.920038,2,4,1
81,0.830759,2,5,1
83,0.832709,2,5,1
83,0.917715,2,3,1
38,0.374872,2,2,1
38,0.515259,2,1,1
38,0.64252,2,1,1
33,0.101729,2,4,1
31,0.176887,2,4,0
31,0.080587,2,1,1
31,0.12352,2,3,1
31,0.184325,2,1,1
31,0.265653,2,1,0
31,0.128057,2,1,1
31,0.190582,2,1,1
31,0.273722,2,2,0
31,0.13267,2,1,1
31,0.196912,2,2,0
31,0.090798,2,2,0
31,0.039632,2,6,1
31,0.062688,2,4,0
23,0.54934,2,8,0
23,0.55078,2,1,0
23,0.552217,2,5,0
45,0.686761,2,6,0
79,0.887782,2,2,1
39,0.413579,2,2,0
39,0.102586,2,2,1
39,0.244547,2,4,1
39,0.415505,2,3,0
39,0.102599,2,4,0
47,0.88783,2,9,0
47,0.118487,2,4,1
47,0.265178,2,2,1
47,0.438074,2,0,1
82,0.961801,2,2,1
82,0.979021,2,1,1
80,0.962453,2,4,1
82,0.988558,2,3,0
82,0.261019,2,5,1
82,0.433567,2,0,1
57,0.730569,2,6,0
57,0.732147,2,2,0
34,0.413571,2,5,0
34,0.102586,2,5,0
34,0.101257,2,1,0
34,0.101254,2,4,1
34,0.2428,2,0,1
34,0.413569,2,1,0
34,0.102586,2,1,1
34,0.244547,2,2,1
34,0.415505,2,2,1
34,0.587925,2,2,0
34,0.104203,2,2,1
34,0.246664,2,2,1
34,0.417845,2,1,1
34,0.590073,2,1,1
33,0.243424,2,0,1
33,0.414261,2,0,1
33,0.586781,2,0,1
33,0.732473,2,1,0
33,0.107127,2,0,1
33,0.25048,2,1,1
33,0.422049,2,1,1
33,0.593919,2,3,1
43,0.731979,2,6,0
43,0.107112,2,3,0
35,0.850612,2,0,1
35,0.850444,2,3,1
7,0.765688,2,1,1
7,0.839171,2,1,1
35,0.850276,2,6,0
35,0.851693,2,0,1
35,0.851525,2,0,1
35,0.851358,2,1,1
35,0.85119,2,4,0
35,0.8526,2,4,0
35,0.853998,2,2,0
37,0.605878,2,4,0
37,0.607861,2,4,1
37,0.607573,2,3,1
37,0.607284,2,3,1
8,0.410564,2,2,1
8,0.443117,2,1,1
8,0.476127,2,2,0
8,0.379877,2,2,1
8,0.411738,2,1,0
22,0.999998,2,0,1
19,0.758242,2,2,1
68,0.833191,2,1,1
21,0.655172,2,5,1
21,0.654765,2,5,0
21,0.656238,2,6,1
21,0.65583,2,3,1
21,0.655422,2,3,0
21,0.656894,2,6,1
21,0.656486,2,5,1
21,0.656078,2,3,0
82,0.60437,2,2,0
57,0.733719,2,2,1
68,0.833049,2,0,1
99,0.662713,2,2,0
99,0.44235,2,6,1
99,0.558953,2,4,1
99,0.669332,2,3,1
99,0.763728,2,0,1
99,0.837695,2,3,1
99,0.89178,2,3,1
80,0.982749,2,3,1
7,0.892827,2,2,1
7,0.930071,2,3,0
7,0.84286,2,2,1
7,0.895438,2,3,1
7,0.931844,2,4,0
52,0.42434,2,6,0
16,0.588235,2,4,0
17,0.760563,2,5,1
17,0.760283,2,1,1
16,0.589856,2,7,0
16,0.591474,2,5,1
17,0.760002,2,6,1
17,0.759721,2,1,1
1,0.634752,2,2,0
1,0.104899,2,3,1
1,0.247573,2,1,0
1,0.101741,2,2,1
1,0.243439,2,1,1
2,0.417943,2,8,0
2,0.127767,2,5,0
99,0.929359,2,2,0
99,0.841413,2,0,1
99,0.894415,2,4,1
5,0.755187,2,0,1
5,0.814535,2,0,1
28,0.683908,2,2,1
31,0.027207,2,2,0
31,0.012129,2,1,1
31,0.020186,2,2,0
31,0.009222,2,7,0
31,0.004731,2,6,1
31,0.008517,2,8,1
31,0.014501,2,4,1
23,0.553653,2,5,0
23,0.555087,2,1,1
45,0.104933,2,2,1
39,0.101258,2,3,0
39,0.101254,2,1,1
39,0.2428,2,4,1
39,0.413569,2,4,1
82,0.104429,2,2,0
82,0.101263,2,3,0
82,0.101254,2,2,0
82,0.101254,2,2,0
82,0.101254,2,2,1
57,0.733427,2,5,0
57,0.734994,2,2,0
57,0.736554,2,3,0
57,0.738108,2,2,1
57,0.737817,2,3,1
57,0.737527,2,1,1
48,0.048128,2,7,0
48,0.017666,2,6,0
48,0.006993,2,4,1
48,0.014823,2,8,0
48,0.006018,2,6,0
49,0.10213,2,5,0
49,0.101205,2,5,1
49,0.265839,2,4,1
49,0.477942,2,5,1
54,0.268095,2,3,0
54,0.198389,2,3,0
54,0.143497,2,6,0
54,0.102124,2,4,1
54,0.115648,2,3,1
54,0.130589,2,4,1
54,0.14703,2,6,1
54,0.165046,2,2,1
42,0.442026,2,3,0
42,0.348144,2,5,0
42,0.264918,2,3,1
42,0.291878,2,6,1
42,0.320321,2,5,1
42,0.350103,2,3,1
42,0.381048,2,5,1
43,0.10127,2,3,0
43,0.101254,2,1,1
43,0.2428,2,4,1
43,0.413569,2,5,0
43,0.102586,2,4,1
43,0.244547,2,5,0
43,0.101729,2,4,1
43,0.243423,2,1,1
34,0.73502,2,1,1
35,0.855386,2,7,1
